Title,ActualPrice,Status,Description,PostalCode,StateCode,City,Url
140-E-40th-St-Apt-10A_New-York_NY_10016_M91943-45562,$535000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/140-E-40th-St-Apt-10A_New-York_NY_10016_M91943-45562
425-5th-Ave-Apt-23B_New-York_NY_10016_M48159-44223,$1495000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2004-07-05",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/425-5th-Ave-Apt-23B_New-York_NY_10016_M48159-44223
157-E-32nd-St-Apt-8A_New-York_NY_10016_M31777-49867,$895000,for_sale,"baths_consolidated: 1, type: condos, sub_type: condo, sold_date: 2022-07-05",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/157-E-32nd-St-Apt-8A_New-York_NY_10016_M31777-49867
137-E-36th-St-C11_New-York_NY_10016_M33096-71795,$825000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2018-12-21",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/137-E-36th-St-C11_New-York_NY_10016_M33096-71795
11-E-36th-St-Ste-404_New-York_NY_10016_M40149-74880,$848880,for_sale,"baths_consolidated: 1, type: condos, sub_type: condo, sold_date: 2009-09-11",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/11-E-36th-St-Ste-404_New-York_NY_10016_M40149-74880
343-E-30th-St-Apt-15J_New-York_NY_10016_M36323-04612,$1695000,for_sale,"baths_consolidated: 2, type: condos, sub_type: condo, sold_date: 2018-12-04",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/343-E-30th-St-Apt-15J_New-York_NY_10016_M36323-04612
10-Park-Ave-C17_New-York_NY_10016_M30022-18504,$550000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2019-07-16",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/10-Park-Ave-C17_New-York_NY_10016_M30022-18504
201-E-28th-St-E7_New-York_NY_10016_M42630-29252,$969000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op, sold_date: 2015-11-10",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/201-E-28th-St-E7_New-York_NY_10016_M42630-29252
206-E-30th-St_New-York_NY_10016_M46022-30522,$4935000,for_sale,"baths_consolidated: 4.5+, type: townhomes, sub_type: townhouse, sold_date: 1970-10-14",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/206-E-30th-St_New-York_NY_10016_M46022-30522
115-E-36th-St-Unit-Parlor_New-York_NY_10016_M46917-35612,$2000000,for_sale,"baths_consolidated: 2, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/115-E-36th-St-Unit-Parlor_New-York_NY_10016_M46917-35612
330-E-38th-St-Apt-12N_New-York_NY_10016_M36101-34494,$2300000,for_sale,"baths_consolidated: 3, type: condos, sub_type: condo, sold_date: 2005-05-04",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/330-E-38th-St-Apt-12N_New-York_NY_10016_M36101-34494
225-E-36th-St-Apt-2H_New-York_NY_10016_M44664-05427,$420000,for_sale,"baths_consolidated: 1, type: coop, sub_type: co_op",10016,NY,New York,https://www.realtor.com/realestateandhomes-detail/225-E-36th-St-Apt-2H_New-York_NY_10016_M44664-05427
80-Park-Ave-10LM_New-York_NY_10016_M99419-18838,$1650000,for_sale,"baths_consolidated: 2.5, type: condos, sub_type: condo",10016,NY,Manhattan,https://www.realtor.com/realestateandhomes-detail/80-Park-Ave-10LM_New-York_NY_10016_M99419-18838
